DATE,CAPUTLX4HTK2SQ
1967-01-01,88.0498
1967-04-01,86.4183
1967-07-01,85.7834
1967-10-01,87.1002
1968-01-01,87.0133
1968-04-01,87.1448
1968-07-01,86.6528
1968-10-01,87.0289
1969-01-01,87.5648
1969-04-01,86.6758
1969-07-01,86.5881
1969-10-01,84.7755
1970-01-01,81.4118
1970-04-01,80.0528
1970-07-01,79.0095
1970-10-01,76.4860
1971-01-01,77.8960
1971-04-01,78.1302
1971-07-01,77.8022
1971-10-01,79.2164
1972-01-01,81.7355
1972-04-01,83.0014
1972-07-01,83.6077
1972-10-01,86.0191
1973-01-01,87.9565
1973-04-01,87.8502
1973-07-01,87.5990
1973-10-01,88.2831
1974-01-01,86.6728
1974-04-01,85.9057
1974-07-01,85.0708
1974-10-01,80.7800
1975-01-01,73.8529
1975-04-01,72.3548
1975-07-01,74.3405
1975-10-01,75.8366
1976-01-01,77.9068
1976-04-01,78.5890
1976-07-01,79.1037
1976-10-01,79.6343
1977-01-01,81.0950
1977-04-01,83.2392
1977-07-01,83.5034
1977-10-01,83.5158
1978-01-01,82.8706
1978-04-01,84.9681
1978-07-01,85.0325
1978-10-01,86.0045
1979-01-01,85.5307
1979-04-01,84.6000
1979-07-01,83.6333
1979-10-01,82.8282
1980-01-01,82.2955
1980-04-01,77.4050
1980-07-01,75.2016
1980-10-01,78.0884
1981-01-01,77.5478
1981-04-01,77.4391
1981-07-01,76.7259
1981-10-01,74.1446
1982-01-01,71.8440
1982-04-01,71.0901
1982-07-01,70.2088
1982-10-01,68.4915
1983-01-01,69.8711
1983-04-01,71.7416
1983-07-01,74.1567
1983-10-01,76.1620
1984-01-01,78.1733
1984-04-01,78.8758
1984-07-01,78.9917
1984-10-01,78.9159
1985-01-01,78.4201
1985-04-01,78.2372
1985-07-01,77.9522
1985-10-01,78.0835
1986-01-01,78.7773
1986-04-01,78.6104
1986-07-01,78.6286
1986-10-01,79.1895
1987-01-01,79.7455
1987-04-01,80.5395
1987-07-01,81.4032
1987-10-01,83.2252
1988-01-01,83.6061
1988-04-01,84.3234
1988-07-01,84.3037
1988-10-01,85.0801
1989-01-01,85.3297
1989-04-01,84.2718
1989-07-01,82.8905
1989-10-01,82.2745
1990-01-01,82.5135
1990-04-01,82.6030
1990-07-01,82.3520
1990-10-01,80.4281
1991-01-01,78.1025
1991-04-01,78.0538
1991-07-01,79.1286
1991-10-01,79.0846
1992-01-01,78.5702
1992-04-01,79.6242
1992-07-01,79.8662
1992-10-01,79.8473
1993-01-01,80.3502
1993-04-01,80.2147
1993-07-01,80.0437
1993-10-01,80.9698
1994-01-01,81.4854
1994-04-01,82.5738
1994-07-01,82.9472
1994-10-01,83.9354
1995-01-01,84.0104
1995-04-01,83.0152
1995-07-01,82.5255
1995-10-01,82.1642
1996-01-01,81.2469
1996-04-01,82.1981
1996-07-01,82.4353
1996-10-01,82.3577
1997-01-01,82.8455
1997-04-01,82.5433
1997-07-01,82.9142
1997-10-01,83.4924
1998-01-01,83.1190
1998-04-01,82.0540
1998-07-01,81.0069
1998-10-01,80.9995
1999-01-01,80.4110
1999-04-01,79.8489
1999-07-01,79.3104
1999-10-01,80.1373
2000-01-01,79.7854
2000-04-01,79.6051
2000-07-01,78.5229
2000-10-01,77.3253
2001-01-01,75.7295
2001-04-01,74.6933
2001-07-01,73.6697
2001-10-01,72.7975
2002-01-01,73.3426
2002-04-01,74.3559
2002-07-01,74.8748
2002-10-01,74.7845
2003-01-01,74.9890
2003-04-01,74.3782
2003-07-01,74.5080
2003-10-01,75.2316
2004-01-01,75.6330
2004-04-01,76.3759
2004-07-01,77.1659
2004-10-01,78.0457
2005-01-01,78.8912
2005-04-01,78.8954
2005-07-01,78.1131
2005-10-01,78.6790
2006-01-01,78.9143
2006-04-01,78.5648
2006-07-01,78.1857
2006-10-01,78.0846
2007-01-01,78.4833
2007-04-01,79.1911
2007-07-01,79.1847
2007-10-01,78.7809
2008-01-01,77.9040
2008-04-01,76.1446
2008-07-01,73.5491
2008-10-01,69.7442
2009-01-01,65.3746
2009-04-01,63.5893
2009-07-01,65.1397
2009-10-01,66.5912
2010-01-01,67.8917
2010-04-01,70.0090
2010-07-01,71.2822
2010-10-01,71.9128
2011-01-01,72.7382
2011-04-01,72.9784
2011-07-01,73.8302
2011-10-01,74.5242
2012-01-01,75.3343
2012-04-01,75.1718
2012-07-01,74.7318
2012-10-01,74.7989
2013-01-01,75.1860
2013-04-01,74.9163
2013-07-01,74.6715
2013-10-01,74.9816
2014-01-01,74.8520
2014-04-01,75.5951
2014-07-01,75.7876
2014-10-01,76.0549
2015-01-01,75.6765
2015-04-01,75.6453
2015-07-01,75.8276
2015-10-01,75.5701
2016-01-01,75.5563
2016-04-01,75.1928
2016-07-01,75.0221
2016-10-01,75.1690
2017-01-01,75.5991
