DATE,K160071A027NBEA
1951-01-01,50.3
1952-01-01,50.5
1953-01-01,54.5
1954-01-01,55.8
1955-01-01,64
1956-01-01,68.1
1957-01-01,69.7
1958-01-01,64.9
1959-01-01,74.6
1960-01-01,75.7
1961-01-01,75.2
1962-01-01,82
1963-01-01,88.1
1964-01-01,97.2
1965-01-01,109
1966-01-01,117.7
1967-01-01,118.7
1968-01-01,132.1
1969-01-01,147.3
1970-01-01,150.4
1971-01-01,169.9
1972-01-01,198.5
1973-01-01,228.6
1974-01-01,235.4
1975-01-01,236.5
1976-01-01,274.8
1977-01-01,339
1978-01-01,412.2
1979-01-01,474.9
1980-01-01,485.6
1981-01-01,542.6
1982-01-01,532.1
1983-01-01,570.1
1984-01-01,670.2
1985-01-01,714.4
1986-01-01,739.9
1987-01-01,757.8
1988-01-01,803.1
1989-01-01,847.3
1990-01-01,846.4
1991-01-01,803.3
1992-01-01,848.5
1993-01-01,932.5
1994-01-01,1033.5
1995-01-01,1112.9
1996-01-01,1209.4
1997-01-01,1317.7
1998-01-01,1447.1
1999-01-01,1580.7
2000-01-01,1717.7
2001-01-01,1700.2
2002-01-01,1634.9
2003-01-01,1713.3
2004-01-01,1903.6
2005-01-01,2122.3
2006-01-01,2267.2
2007-01-01,2266.1
2008-01-01,2128.7
2009-01-01,1703.5
2010-01-01,1679
2011-01-01,1818.3
