DATE,CRDQUSANABIS
1952-01-01,105.232
1952-04-01,107.373
1952-07-01,109.691
1952-10-01,112.537
1953-01-01,114.106
1953-04-01,115.808
1953-07-01,117.326
1953-10-01,117.609
1954-01-01,118.969
1954-04-01,120.059
1954-07-01,122.051
1954-10-01,123.758
1955-01-01,125.322
1955-04-01,128.692
1955-07-01,131.367
1955-10-01,136.054
1956-01-01,139.057
1956-04-01,142.890
1956-07-01,145.665
1956-10-01,148.890
1957-01-01,151.790
1957-04-01,155.673
1957-07-01,157.909
1957-10-01,161.010
1958-01-01,163.197
1958-04-01,165.505
1958-07-01,167.587
1958-10-01,172.145
1959-01-01,174.495
1959-04-01,179.951
1959-07-01,182.513
1959-10-01,186.894
1960-01-01,190.164
1960-04-01,194.605
1960-07-01,196.295
1960-10-01,200.616
1961-01-01,202.432
1961-04-01,206.398
1961-07-01,208.978
1961-10-01,214.704
1962-01-01,217.280
1962-04-01,223.174
1962-07-01,226.422
1962-10-01,232.768
1963-01-01,235.934
1963-04-01,241.563
1963-07-01,244.674
1963-10-01,252.156
1964-01-01,255.509
1964-04-01,262.377
1964-07-01,266.649
1964-10-01,274.192
1965-01-01,280.648
1965-04-01,289.380
1965-07-01,294.843
1965-10-01,303.787
1966-01-01,312.600
1966-04-01,324.503
1966-07-01,330.310
1966-10-01,338.202
1967-01-01,345.764
1967-04-01,356.551
1967-07-01,362.385
1967-10-01,370.856
1968-01-01,380.008
1968-04-01,391.589
1968-07-01,399.341
1968-10-01,412.656
1969-01-01,422.809
1969-04-01,438.515
1969-07-01,448.466
1969-10-01,460.784
1970-01-01,473.295
1970-04-01,490.568
1970-07-01,500.807
1970-10-01,511.941
1971-01-01,522.502
1971-04-01,539.576
1971-07-01,551.513
1971-10-01,563.398
1972-01-01,577.248
1972-04-01,597.749
1972-07-01,610.926
1972-10-01,634.365
1973-01-01,657.374
1973-04-01,686.378
1973-07-01,707.937
1973-10-01,727.578
1974-01-01,749.163
1974-04-01,780.394
1974-07-01,799.779
1974-10-01,820.315
1975-01-01,829.621
1975-04-01,842.650
1975-07-01,849.064
1975-10-01,860.266
1976-01-01,871.648
1976-04-01,892.790
1976-07-01,908.503
1976-10-01,931.428
1977-01-01,958.206
1977-04-01,990.313
1977-07-01,1014.244
1977-10-01,1050.133
1978-01-01,1080.109
1978-04-01,1120.824
1978-07-01,1148.685
1978-10-01,1184.262
1979-01-01,1220.058
1979-04-01,1271.168
1979-07-01,1311.131
1979-10-01,1343.789
1980-01-01,1384.832
1980-04-01,1406.542
1980-07-01,1433.520
1980-10-01,1474.673
1981-01-01,1510.048
1981-04-01,1568.883
1981-07-01,1619.465
1981-10-01,1658.457
1982-01-01,1701.077
1982-04-01,1749.650
1982-07-01,1787.369
1982-10-01,1807.588
1983-01-01,1856.426
1983-04-01,1897.393
1983-07-01,1938.066
1983-10-01,1996.223
1984-01-01,2067.152
1984-04-01,2158.862
1984-07-01,2226.600
1984-10-01,2320.616
1985-01-01,2373.153
1985-04-01,2443.200
1985-07-01,2487.572
1985-10-01,2571.990
1986-01-01,2634.044
1986-04-01,2714.234
1986-07-01,2776.021
1986-10-01,2865.996
1987-01-01,2927.158
1987-04-01,2988.780
1987-07-01,3040.381
1987-10-01,3117.442
1988-01-01,3191.110
1988-04-01,3274.984
1988-07-01,3331.010
1988-10-01,3405.468
1989-01-01,3476.854
1989-04-01,3553.749
1989-07-01,3585.822
1989-10-01,3644.318
1990-01-01,3705.024
1990-04-01,3745.109
1990-07-01,3764.805
1990-10-01,3773.802
1991-01-01,3759.304
1991-04-01,3765.815
1991-07-01,3728.295
1991-10-01,3686.411
1992-01-01,3699.627
1992-04-01,3698.778
1992-07-01,3687.181
1992-10-01,3679.116
1993-01-01,3711.595
1993-04-01,3753.425
1993-07-01,3775.673
1993-10-01,3805.227
1994-01-01,3879.712
1994-04-01,3930.739
1994-07-01,3967.295
1994-10-01,4016.534
1995-01-01,4096.304
1995-04-01,4176.752
1995-07-01,4210.198
1995-10-01,4269.835
1996-01-01,4329.882
1996-04-01,4407.079
1996-07-01,4455.292
1996-10-01,4489.992
1997-01-01,4576.985
1997-04-01,4671.232
1997-07-01,4776.171
1997-10-01,4870.258
1998-01-01,5025.042
1998-04-01,5186.364
1998-07-01,5298.182
1998-10-01,5428.808
1999-01-01,5607.521
1999-04-01,5724.170
1999-07-01,5915.103
1999-10-01,6030.856
2000-01-01,6206.445
2000-04-01,6390.291
2000-07-01,6480.628
2000-10-01,6582.118
2001-01-01,6640.357
2001-04-01,6758.637
2001-07-01,6818.077
2001-10-01,6879.952
2002-01-01,6931.301
2002-04-01,6967.091
2002-07-01,6989.287
2002-10-01,7041.990
2003-01-01,7060.571
2003-04-01,7088.217
2003-07-01,7118.626
2003-10-01,7126.947
2004-01-01,7265.226
2004-04-01,7339.129
2004-07-01,7444.609
2004-10-01,7568.710
2005-01-01,7692.437
2005-04-01,7850.048
2005-07-01,7984.630
2005-10-01,8171.301
2006-01-01,8350.455
2006-04-01,8567.208
2006-07-01,8704.439
2006-10-01,8989.441
2007-01-01,9212.200
2007-04-01,9533.098
2007-07-01,9829.812
2007-10-01,10112.981
2008-01-01,10313.489
2008-04-01,10538.519
2008-07-01,10671.698
2008-10-01,10704.764
2009-01-01,10626.204
2009-04-01,10538.960
2009-07-01,10372.715
2009-10-01,10164.180
2010-01-01,10124.614
2010-04-01,10035.385
2010-07-01,10084.497
2010-10-01,10010.198
2011-01-01,10040.241
2011-04-01,10103.304
2011-07-01,10188.074
2011-10-01,10281.906
2012-01-01,10365.349
2012-04-01,10460.461
2012-07-01,10623.227
2012-10-01,10801.659
2013-01-01,10887.192
2013-04-01,11031.720
2013-07-01,11197.409
2013-10-01,11288.851
2014-01-01,11461.230
2014-04-01,11611.626
2014-07-01,11786.760
2014-10-01,11977.253
2015-01-01,12201.989
2015-04-01,12463.625
2015-07-01,12613.778
2015-10-01,12779.513
2016-01-01,13061.774
2016-04-01,13213.757
2016-07-01,13407.736
