Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018)) ($)
United States,USA,1650,897
United States,USA,1720,1375
United States,USA,1775,1883
Entity,Code,Year,GDPCAP
United States,USA,1800,1980
United States,USA,1801,2017
United States,USA,1802,2050
United States,USA,1803,2015
United States,USA,1804,2014
United States,USA,1805,2056
United States,USA,1806,2094
United States,USA,1807,2114
United States,USA,1808,1965
United States,USA,1809,2062
United States,USA,1810,2120
United States,USA,1811,2163
United States,USA,1812,2125
United States,USA,1813,2149
United States,USA,1814,2190
United States,USA,1815,2180
United States,USA,1816,2092
United States,USA,1817,2091
United States,USA,1818,2097
United States,USA,1819,2092
United States,USA,1820,2080
United States,USA,1821,2113
United States,USA,1822,2171
United States,USA,1823,2147
United States,USA,1824,2205
United States,USA,1825,2254
United States,USA,1826,2270
United States,USA,1827,2279
United States,USA,1828,2279
United States,USA,1829,2204
United States,USA,1830,2364
United States,USA,1831,2509
United States,USA,1832,2600
United States,USA,1833,2691
United States,USA,1834,2562
United States,USA,1835,2660
United States,USA,1836,2699
United States,USA,1837,2614
United States,USA,1838,2591
United States,USA,1839,2717
United States,USA,1840,2583
United States,USA,1841,2529
United States,USA,1842,2507
United States,USA,1843,2547
United States,USA,1844,2685
United States,USA,1845,2728
United States,USA,1846,2743
United States,USA,1847,2816
United States,USA,1848,2888
United States,USA,1849,2814
United States,USA,1850,2825
United States,USA,1851,2940
United States,USA,1852,3089
United States,USA,1853,3300
United States,USA,1854,3310
United States,USA,1855,3237
United States,USA,1856,3305
United States,USA,1857,3233
United States,USA,1858,3248
United States,USA,1859,3336
United States,USA,1860,3425
United States,USA,1861,3354
United States,USA,1862,3459
United States,USA,1863,3683
United States,USA,1864,3804
United States,USA,1865,3607
United States,USA,1866,3579
United States,USA,1867,3697
United States,USA,1868,3745
United States,USA,1869,3845
United States,USA,1870,3736
United States,USA,1871,3825
United States,USA,1872,3883
United States,USA,1873,3980
United States,USA,1874,3862
United States,USA,1875,3971
United States,USA,1876,3928
United States,USA,1877,3966
United States,USA,1878,4044
United States,USA,1879,4446
United States,USA,1880,4866
United States,USA,1881,4914
United States,USA,1882,5101
United States,USA,1883,5102
United States,USA,1884,5074
United States,USA,1885,4997
United States,USA,1886,5034
United States,USA,1887,5147
United States,USA,1888,5015
United States,USA,1889,5216
United States,USA,1890,5184
United States,USA,1891,5299
United States,USA,1892,5697
United States,USA,1893,5316
United States,USA,1894,5064
United States,USA,1895,5569
United States,USA,1896,5356
United States,USA,1897,5761
United States,USA,1898,5776
United States,USA,1899,6191
United States,USA,1900,6252
United States,USA,1901,6822
United States,USA,1902,6756
United States,USA,1903,6955
United States,USA,1904,6739
United States,USA,1905,7094
United States,USA,1906,7762
United States,USA,1907,7740
United States,USA,1908,6970
United States,USA,1909,7668
United States,USA,1910,7586
United States,USA,1911,7711
United States,USA,1912,7948
United States,USA,1913,8101
United States,USA,1914,7334
United States,USA,1915,7434
United States,USA,1916,8342
United States,USA,1917,8020
United States,USA,1918,8648
United States,USA,1919,8681
United States,USA,1920,8485
United States,USA,1921,8134
United States,USA,1922,8466
United States,USA,1923,9420
United States,USA,1924,9525
United States,USA,1925,9601
United States,USA,1926,10090
United States,USA,1927,10050
United States,USA,1928,10040
United States,USA,1929,10543
United States,USA,1930,9490
United States,USA,1931,8864
United States,USA,1932,7525
United States,USA,1933,7270
United States,USA,1934,7876
United States,USA,1935,8850
United States,USA,1936,9718
United States,USA,1937,10450
United States,USA,1938,9797
United States,USA,1939,10459
United States,USA,1940,11307
United States,USA,1941,12844
United States,USA,1942,14175
United States,USA,1943,15392
United States,USA,1944,16401
United States,USA,1945,15992
United States,USA,1946,14471
United States,USA,1947,14057
United States,USA,1948,14559
United States,USA,1949,14112
United States,USA,1950,15241
United States,USA,1951,16126
United States,USA,1952,16443
United States,USA,1953,16917
United States,USA,1954,16513
United States,USA,1955,17370
United States,USA,1956,17398
United States,USA,1957,17407
United States,USA,1958,16945
United States,USA,1959,17901
United States,USA,1960,18058
United States,USA,1961,18175
United States,USA,1962,18977
United States,USA,1963,19515
United States,USA,1964,20360
United States,USA,1965,21390
United States,USA,1966,22529
United States,USA,1967,22842
United States,USA,1968,23692
United States,USA,1969,24196
United States,USA,1970,23958
United States,USA,1971,24395
United States,USA,1972,25415
United States,USA,1973,26603
United States,USA,1974,26287
United States,USA,1975,25956
United States,USA,1976,27059
United States,USA,1977,28001
United States,USA,1978,29287
United States,USA,1979,29951
United States,USA,1980,29613
United States,USA,1981,30056
United States,USA,1982,29211
United States,USA,1983,30159
United States,USA,1984,32076
United States,USA,1985,33024
United States,USA,1986,33851
United States,USA,1987,34730
United States,USA,1988,35865
United States,USA,1989,36757
United States,USA,1990,36982
United States,USA,1991,36464
United States,USA,1992,37241
United States,USA,1993,37762
United States,USA,1994,38808
United States,USA,1995,39391
United States,USA,1996,40414
United States,USA,1997,41723
United States,USA,1998,43073
United States,USA,1999,44576
United States,USA,2000,45887
United States,USA,2001,45878
United States,USA,2002,46267
United States,USA,2003,47158
United States,USA,2004,48493
United States,USA,2005,49655
United States,USA,2006,50490
United States,USA,2007,50902
United States,USA,2008,50276
United States,USA,2009,48453
United States,USA,2010,49267
United States,USA,2011,49675
United States,USA,2012,50394
United States,USA,2013,50863
United States,USA,2014,51664
United States,USA,2015,52591
United States,USA,2016,53015
